departamento,nombre,calificacion,ubicacion
La Paz,The Adventure Brew Hostel,5,Avenida Montes Nº 503 533 Zona 10La Paz 
La Paz,Hotel Ensueños,5,Avenida 6 De Marzo 450 Entre Calles 4 y 512 De OctubreEl Alto 
La Paz,Hostal Isidoros,6,Calle Cobija Nro. 120 Esquina de Calle Cobija con Calle ConstitucionLa Paz 
La Paz,Kroosty & Kelly Homestay,2,Pasaje chaco #1077 pasaje Chaco entre General Lanza y Arturo Borda Entre Arturo Borda y General LanzaZona Cristo ReySopocachi 
La Paz,Landscape Bolivian Home B&B,4,Reseguín 1945 Entre Aspiazu Y Harrington Sopocachi Entre Aspiazu Y HarringtonSopocachiLa Paz 
La Paz,Hostal Real los Andes del Lago,4,Av. Busch S N Entre Av. 16 De Julio Y Costanera Entre Avenida 16 de Julio Y CostaneraCopacabana 0001 
La Paz,Los Sauces Apart Hotel,6,Avenida Arequipa 8283 Esquina Los SaucesLa Paz 
La Paz,Monticulo Apart Hotel,5,Calle Macario Pinilla 580 SopocachiLa Paz 
La Paz,Hotel MITRU,8,Edificio Torre Girasoles Avenida 6 de Agosto N°2628Entre Pinilla y GosalvezLa Paz 
La Paz,Bolivian Passport,5,Avenida Perú Esquina Beni  291La Paz 
La Paz,Atix Hotel,8,Calacoto Calle 16 N 8052 between Patiño and Bustamante between Julio Patiño and Sánchez BustamanteCalacotoLa Paz 
La Paz,Residencial Alta Vista,4,Calle Linares 826 Entre Santa Cruz Y Sagarnaga Entre Santa Cruz y Sagarnaga Entre Santa Cruz y SagarnagaLa Paz 
La Paz,Hotel Alexander,6,Av. Jorge Carrasco Esq. Calle 3 Nro.61 El Alto Calle 3 No 61Zona 12 de OctubreEl Alto 
La Paz,Landscape Apartment B&B,4,Av. Arce #2652 Frente Multicine. Edif. Mila Bloque A Piso 5 Apt. 501. Sopocachi Centro 5th FloorApartment 501Front of Multicine 
La Paz,Elegance Hotel,6,Av. Saavedra MirafloresLa Paz 1845 
La Paz,Hotel Boutique Palma Real,6,Calle Goitia N. 162 Av. Arce La Paz 
La Paz,Hotel Viejo Molino Coroico,10,15 Min Walking Of Coroico´s Main Square On The Way To Santa Barbara Community Coroico 
La Paz,Hostal Florencia,2,Calle Mena Mejia 120 Copacabana 
La Paz,Bolivian Rooms & Suites (Zona Sur),6,Avenida Jose Aguirre Achá 490 Barrio Los PinosLa Paz 
La Paz,Hostel Porvenir,6,Calle Murillo Esquina Tarija # 1014 La Paz 
La Paz,Hotel Diamante Azul,6,Aroma No. 40 Y Esq. Illampu Esquina IllampuLa Paz 
La Paz,Hotel Savoy,5,Calle Chuquisaca 675 San SebastiánLa Paz Zona 9La Paz 
La Paz,Flavias Hostal Spa Sauna,6,Nanawa 1874 Miraflores Centro Miraflores CentroLa Paz 9999 
La Paz,York B&B,4,Calle Sagarnaga 229 La Paz 
La Paz,Tinka,6,Calle Jacinto Benavente Pasaje #250 Pasaje 250La Paz 0010 
La Paz,Casa Mia Boutique Hotel Zona Sur Calacoto,6,Calle 11 Numero 7837 entre Avenida Ballivian e Inofuentes Entre Avenida Ballivian y Avenida InofuentesLa Paz 
La Paz,Greenhouse Bolivia,4,Calle Victor Sanjinez 2866 La Paz 1011 
La Paz,Rendezvous Hotel Restaurant,5,Subteniente M. Carranza 461 Final Avenida Sanchez LimaSopocachiLa Paz 3165 
La Paz,Hotel Nuevo Sol,6,Linares Street 1011 Corner Juan XXIIILa Paz 
La Paz,Qhini Hotel Boutique,6,Calle 4 580 ObrajesLa PazDepartamento La Paz 
La Paz,Hotel La Cupula,5,Calle Michel Perez 1-3 CopacabanaDepartamento La Paz 
La Paz,Anami Hotel Boutique,8,Calle Ecuador Casi Esquina Aspiazu 2049 Zona SopocachiLa Paz 
La Paz,Qantu Hotel,6,Avenida Illampu 740 Zona El RosarioLa Paz 
La Paz,York Vintage,4,Calle Murillo 743 La Paz 
La Paz,Hostal Olas Del Titicaca,5,Avenida 16 De Julio Cruce Con Avenida BuschCopacabana 
La Paz,Midtown La Paz,6,Avenida Hernando Siles 4503 Obrajes Avenida Hernando Siles y Calle 1ObrajesLa Paz 
La Paz,Paitití Hostel,2,Calle Chiu-Chiu #1088 Esquina Juan Gutierrez PaniaguaLa Paz 
La Paz,Casa Hotel Achumani,8,Calle 7 De Achumani # 732 Esquina Fuerza NavalLa Paz 
La Paz,The Adventure Brew Downtown Hostel,2,Calle Tarija 238 La Paz 
La Paz,Hostal Flor de Mi Tierra,2,Ruta Nacional 2 Avenida PanamericanaCopacabana 5912 
La Paz,Hostal Austria,5,Calle Yanacocha 531 La Paz 0016 
La Paz,3600 Hostel,5,Avinguda Ecuador corner of J.J. Perez #1982La Paz 
La Paz,Hotel Rennova,8,Calle 13 de Calacoto Esq. Julio Patiño #695 La Paz 
La Paz,Wild Rover La Paz,5,Calle Comercio 1476 La Paz 
La Paz,Hotel Paraiso del Lago,5,Avenida Busch 1000 Copacabana 
La Paz,Cruz de Los Andes,4,Calle Aroma 216 Zona El Rosario00591 La Paz 
La Paz,Hotel Esmeralda,4,Calle Julio Zuazo Cuenca 725 Coroico 2040 
